"고유번호",법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
4874041021104030000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,403,4874041021104030000,2017,01,2,2,1571,1571,72.72,72.72,33200000,N,2017-11-27
4874041021104030000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,403,4874041021104030000,2017,01,3,3,1571,1571,49.58,49.58,27200000,N,2017-11-27
4874041021104030000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,403,4874041021104030000,2017,01,4,4,1571,1571,42.98,42.98,15200000,N,2017-11-27
4874041021104030004,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,403-4,4874041021104030004,2017,01,1,1,253,253,87.83,87.83,36000000,N,2017-11-27
4874041021104040002,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,404-2,4874041021104040002,2017,01,1,1,615,615,49.58,49.58,46400000,N,2017-11-27
4874041021104040003,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,404-3,4874041021104040003,2017,01,99999,99999,209,209,49.5,49.5,15500000,Y,2017-11-27
4874041021104040007,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,404-7,4874041021104040007,2017,01,2,2,238,238,42.97,42.97,16100000,N,2017-11-27
4874041021104050000,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,405,4874041021104050000,2017,01,1,1,180,180,33.05,33.05,10000000,N,2017-11-27
4874041021104050001,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,405-1,4874041021104050001,2017,01,1,1,223,223,36.37,36.37,12500000,N,2017-11-27
4874041021104050002,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,405-2,4874041021104050002,2017,01,1,1,201,201,42.98,42.98,11500000,N,2017-11-27
4874041021104050003,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,405-3,4874041021104050003,2017,01,1,1,280,280,59.5,59.5,16400000,N,2017-11-27
4874041021104060002,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,406-2,4874041021104060002,2017,01,1,1,365,365,65.25,65.25,51000000,N,2017-11-27
4874041021104060003,4874041021,경상남도 창녕군 길곡면 증산리,1,일반,406-3,4874041021104060003,2017,01,1,1,489,489,119,119,29500000,N,2017-11-27
4874041023102680000,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,268,4874041023102680000,2017,01,1,1,573,573,78.75,78.75,39000000,N,2017-11-27
4874041023102690001,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,269-1,4874041023102690001,2017,01,1,1,949,949,166.11,166.11,72300000,N,2017-11-27
4874041023102780003,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,278-3,4874041023102780003,2017,01,1,1,583,583,79.3,79.3,45900000,N,2017-11-27
4874041023102900002,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,290-2,4874041023102900002,2017,01,1,1,660,660,92.93,92.93,39100000,N,2017-11-27
4874041023102950000,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,295,4874041023102950000,2017,01,1,1,580,580,92.64,92.64,57300000,N,2017-11-27
4874041023103020001,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,302-1,4874041023103020001,2017,01,1,1,225,225,70,70,5240000,N,2017-11-27
4874041023103020002,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,302-2,4874041023103020002,2017,01,1,1,255,255,40,40,5620000,N,2017-11-27
4874041023103020003,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,302-3,4874041023103020003,2017,01,1,1,902,902,117.47,117.47,20300000,N,2017-11-27
4874041023103020004,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,302-4,4874041023103020004,2017,01,1,1,394,394,85.58,85.58,23600000,N,2017-11-27
4874041023103020006,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,302-6,4874041023103020006,2017,01,1,1,142,142,178.62,178.62,22400000,N,2017-11-27
4874041023103050000,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,305,4874041023103050000,2017,01,1,1,357,357,56,56,8810000,N,2017-11-27
4874041023103060000,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,306,4874041023103060000,2017,01,1,1,895,895,69.58,69.58,18000000,N,2017-11-27
4874041023103450000,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,345,4874041023103450000,2017,01,1,1,746,363,165.27,165.27,13800000,N,2017-11-27
4874041023103450001,4874041023,경상남도 창녕군 길곡면 길곡리,1,일반,345-1,4874041023103450001,2017,01,1,1,449,449,181.78,181.78,74500000,N,2017-11-27
