"고유번호",법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
3011011400103190019,3011011400,대전광역시 동구 가양동,1,일반,0319-0019,3011011400103190019,2019,01,1,1,180,180,106.46,106.46,85300000,N,2019-07-19
3011011400103190021,3011011400,대전광역시 동구 가양동,1,일반,0319-0021,3011011400103190021,2019,01,1,1,109.3,109.3,102,102,73700000,N,2019-07-19
3011011400103190026,3011011400,대전광역시 동구 가양동,1,일반,0319-0026,3011011400103190026,2019,01,1,1,147.2,118.42,182.6,146.9,85800000,N,2019-07-19
3011011400103190028,3011011400,대전광역시 동구 가양동,1,일반,0319-0028,3011011400103190028,2019,01,0,0,173.2,173.2,93.25,93.25,129000000,N,2019-07-19
3011011400103190030,3011011400,대전광역시 동구 가양동,1,일반,0319-0030,3011011400103190030,2019,01,1,1,66,66,51.95,51.95,43900000,N,2019-07-19
3011011400103190032,3011011400,대전광역시 동구 가양동,1,일반,0319-0032,3011011400103190032,2019,01,1,1,53,53,33.52,33.52,34600000,N,2019-07-19
3011011400103190033,3011011400,대전광역시 동구 가양동,1,일반,0319-0033,3011011400103190033,2019,01,1,1,94.5,94.5,50.02,50.02,45300000,N,2019-07-19
3011011400103190034,3011011400,대전광역시 동구 가양동,1,일반,0319-0034,3011011400103190034,2019,01,1,1,106.7,106.7,97.04,97.04,61200000,N,2019-07-19
3011011400103190035,3011011400,대전광역시 동구 가양동,1,일반,0319-0035,3011011400103190035,2019,01,1,1,167,167,127.41,127.41,96500000,N,2019-07-19
3011011400103190036,3011011400,대전광역시 동구 가양동,1,일반,0319-0036,3011011400103190036,2019,01,1,1,87.9,87.9,52.89,52.89,57800000,N,2019-07-19
3011011400103190038,3011011400,대전광역시 동구 가양동,1,일반,0319-0038,3011011400103190038,2019,01,0,0,141,141,62.4,62.4,91500000,N,2019-07-19
3011011400103190039,3011011400,대전광역시 동구 가양동,1,일반,0319-0039,3011011400103190039,2019,01,0,0,115.1,115.1,66.39,66.39,61800000,N,2019-07-19
3011011400103190040,3011011400,대전광역시 동구 가양동,1,일반,0319-0040,3011011400103190040,2019,01,1,1,108,108,46.54,46.54,69100000,N,2019-07-19
3011011400103190041,3011011400,대전광역시 동구 가양동,1,일반,0319-0041,3011011400103190041,2019,01,1,1,265,265,211.39,211.39,207000000,N,2019-07-19
3011011400103200001,3011011400,대전광역시 동구 가양동,1,일반,0320-0001,3011011400103200001,2019,01,0,0,188.9,178.09,341.43,321.89,330000000,N,2019-07-19
3011011400103200002,3011011400,대전광역시 동구 가양동,1,일반,0320-0002,3011011400103200002,2019,01,1,1,149.6,149.6,96.86,96.86,106000000,N,2019-07-19
3011011400103200003,3011011400,대전광역시 동구 가양동,1,일반,0320-0003,3011011400103200003,2019,01,1,1,170.2,170.2,143.52,143.52,117000000,N,2019-07-19
3011011400103200004,3011011400,대전광역시 동구 가양동,1,일반,0320-0004,3011011400103200004,2019,01,1,1,264.4,264.4,158.86,158.86,178000000,N,2019-07-19
3011011400103200005,3011011400,대전광역시 동구 가양동,1,일반,0320-0005,3011011400103200005,2019,01,0,0,292.2,238.82,480.63,392.83,442000000,N,2019-07-19
3011011400103200006,3011011400,대전광역시 동구 가양동,1,일반,0320-0006,3011011400103200006,2019,01,1,1,340.2,340.2,170.76,170.76,254000000,N,2019-07-19
3011011400103200007,3011011400,대전광역시 동구 가양동,1,일반,0320-0007,3011011400103200007,2019,01,0,0,205.9,205.9,523.68,523.68,366000000,N,2019-07-19
3011011400103200008,3011011400,대전광역시 동구 가양동,1,일반,0320-0008,3011011400103200008,2019,01,0,0,197,30.97,328.98,51.7,43700000,N,2019-07-19
3011011400103200010,3011011400,대전광역시 동구 가양동,1,일반,0320-0010,3011011400103200010,2019,01,1,1,303.8,191.42,88.63,88.63,139000000,N,2019-07-19
3011011400103200010,3011011400,대전광역시 동구 가양동,1,일반,0320-0010,3011011400103200010,2019,01,2,2,303.8,112.38,52.03,52.03,79700000,N,2019-07-19
3011011400103200011,3011011400,대전광역시 동구 가양동,1,일반,0320-0011,3011011400103200011,2019,01,1,1,249,249,84.76,84.76,176000000,N,2019-07-19
3011011400103200015,3011011400,대전광역시 동구 가양동,1,일반,0320-0015,3011011400103200015,2019,01,1,1,221.2,221.2,131.92,131.92,115000000,N,2019-07-19
3011011400103200016,3011011400,대전광역시 동구 가양동,1,일반,0320-0016,3011011400103200016,2019,01,1,1,181.6,181.6,82.71,82.71,120000000,N,2019-07-19
3011011400103200017,3011011400,대전광역시 동구 가양동,1,일반,0320-0017,3011011400103200017,2019,01,1,1,136.5,136.5,74.31,74.31,96600000,N,2019-07-19
3011011400103200019,3011011400,대전광역시 동구 가양동,1,일반,0320-0019,3011011400103200019,2019,01,1,1,161.6,161.6,81.83,81.83,93700000,N,2019-07-19
3011011400103200020,3011011400,대전광역시 동구 가양동,1,일반,0320-0020,3011011400103200020,2019,01,1,1,140.6,140.6,82.03,82.03,105000000,N,2019-07-19
3011011400103200021,3011011400,대전광역시 동구 가양동,1,일반,0320-0021,3011011400103200021,2019,01,1,1,200.9,200.9,118.21,118.21,141000000,N,2019-07-19
3011011400103200022,3011011400,대전광역시 동구 가양동,1,일반,0320-0022,3011011400103200022,2019,01,1,1,170.3,170.3,135.96,135.96,117000000,N,2019-07-19
3011011400103210001,3011011400,대전광역시 동구 가양동,1,일반,0321-0001,3011011400103210001,2019,01,2,2,184.2,133.58,202.83,147.09,107000000,N,2019-07-19
3011011400103210002,3011011400,대전광역시 동구 가양동,1,일반,0321-0002,3011011400103210002,2019,01,0,0,118.7,118.7,62.6,62.6,83700000,N,2019-07-19
3011011400103210004,3011011400,대전광역시 동구 가양동,1,일반,0321-0004,3011011400103210004,2019,01,0,0,222.8,222.8,328.46,328.46,408000000,N,2019-07-19
3011011400103210005,3011011400,대전광역시 동구 가양동,1,일반,0321-0005,3011011400103210005,2019,01,0,0,184,184,280.56,280.56,325000000,N,2019-07-19
3011011400103210006,3011011400,대전광역시 동구 가양동,1,일반,0321-0006,3011011400103210006,2019,01,0,0,283.9,223.57,594.96,468.53,417000000,N,2019-07-19
3011011400103210008,3011011400,대전광역시 동구 가양동,1,일반,0321-0008,3011011400103210008,2019,01,0,0,330.5,330.5,662.86,662.86,660000000,N,2019-07-19
3011011400103210009,3011011400,대전광역시 동구 가양동,1,일반,0321-0009,3011011400103210009,2019,01,1,1,243.3,243.3,166.24,166.24,150000000,N,2019-07-19
3011011400103210013,3011011400,대전광역시 동구 가양동,1,일반,0321-0013,3011011400103210013,2019,01,1,1,253.6,253.6,329.89,329.89,420000000,N,2019-07-19
3011011400103210014,3011011400,대전광역시 동구 가양동,1,일반,0321-0014,3011011400103210014,2019,01,1,1,106.8,106.8,69.62,69.62,52100000,N,2019-07-19
3011011400103210019,3011011400,대전광역시 동구 가양동,1,일반,0321-0019,3011011400103210019,2019,01,0,0,283.9,283.9,597.24,597.24,478000000,N,2019-07-19
3011011400103210025,3011011400,대전광역시 동구 가양동,1,일반,0321-0025,3011011400103210025,2019,01,1,1,171.5,171.5,261.57,261.57,143000000,N,2019-07-19
3011011400103210026,3011011400,대전광역시 동구 가양동,1,일반,0321-0026,3011011400103210026,2019,01,0,0,184.2,184.2,280.56,280.56,333000000,N,2019-07-19
3011011400103220001,3011011400,대전광역시 동구 가양동,1,일반,0322-0001,3011011400103220001,2019,01,0,0,156.3,156.3,198.57,198.57,274000000,N,2019-07-19
3011011400103220003,3011011400,대전광역시 동구 가양동,1,일반,0322-0003,3011011400103220003,2019,01,1,1,239.7,239.7,140.86,140.86,157000000,N,2019-07-19
3011011400103220004,3011011400,대전광역시 동구 가양동,1,일반,0322-0004,3011011400103220004,2019,01,0,0,258.1,258.1,492.78,492.78,467000000,N,2019-07-19
3011011400103220005,3011011400,대전광역시 동구 가양동,1,일반,0322-0005,3011011400103220005,2019,01,1,1,222.7,222.7,325.21,325.21,388000000,N,2019-07-19
3011011400103220008,3011011400,대전광역시 동구 가양동,1,일반,0322-0008,3011011400103220008,2019,01,1,1,122,122,82.16,82.16,79800000,N,2019-07-19
3011011400103220009,3011011400,대전광역시 동구 가양동,1,일반,0322-0009,3011011400103220009,2019,01,0,0,210.9,184.16,314.47,274.59,337000000,N,2019-07-19
3011011400103220011,3011011400,대전광역시 동구 가양동,1,일반,0322-0011,3011011400103220011,2019,01,0,0,257.2,257.2,329.08,329.08,419000000,N,2019-07-19
3011011400103220013,3011011400,대전광역시 동구 가양동,1,일반,0322-0013,3011011400103220013,2019,01,0,0,168.3,168.3,229.38,229.38,292000000,N,2019-07-19
3011011400103220014,3011011400,대전광역시 동구 가양동,1,일반,0322-0014,3011011400103220014,2019,01,0,0,288.9,218.5,429.33,324.69,397000000,N,2019-07-19
3011011400103220015,3011011400,대전광역시 동구 가양동,1,일반,0322-0015,3011011400103220015,2019,01,0,0,258.2,258.2,328.86,328.86,395000000,N,2019-07-19
3011011400103220016,3011011400,대전광역시 동구 가양동,1,일반,0322-0016,3011011400103220016,2019,01,1,1,158.9,158.9,81.82,81.82,119000000,N,2019-07-19
3011011400103220017,3011011400,대전광역시 동구 가양동,1,일반,0322-0017,3011011400103220017,2019,01,1,1,167,167,146.2,146.2,78500000,N,2019-07-19
3011011400103220019,3011011400,대전광역시 동구 가양동,1,일반,0322-0019,3011011400103220019,2019,01,1,1,235,235,327.8,327.8,389000000,N,2019-07-19
3011011400103220020,3011011400,대전광역시 동구 가양동,1,일반,0322-0020,3011011400103220020,2019,01,0,0,224,224,329.56,329.56,392000000,N,2019-07-19
3011011400103220021,3011011400,대전광역시 동구 가양동,1,일반,0322-0021,3011011400103220021,2019,01,0,0,210.9,184.16,314.47,274.59,337000000,N,2019-07-19
3011011400103230001,3011011400,대전광역시 동구 가양동,1,일반,0323-0001,3011011400103230001,2019,01,0,0,463.1,463.1,99.72,99.72,382000000,N,2019-07-19
3011011400103230002,3011011400,대전광역시 동구 가양동,1,일반,0323-0002,3011011400103230002,2019,01,1,1,151.5,151.5,109.48,109.48,71200000,N,2019-07-19
3011011400103230003,3011011400,대전광역시 동구 가양동,1,일반,0323-0003,3011011400103230003,2019,01,1,1,298.6,174.68,102.43,102.43,116000000,N,2019-07-19
3011011400103230003,3011011400,대전광역시 동구 가양동,1,일반,0323-0003,3011011400103230003,2019,01,2,2,298.6,123.92,87.42,87.42,83800000,N,2019-07-19
3011011400103230004,3011011400,대전광역시 동구 가양동,1,일반,0323-0004,3011011400103230004,2019,01,0,0,251.2,251.2,364.09,364.09,354000000,N,2019-07-19
3011011400103230005,3011011400,대전광역시 동구 가양동,1,일반,0323-0005,3011011400103230005,2019,01,1,1,166.1,166.1,81.99,81.99,79300000,N,2019-07-19
3011011400103230007,3011011400,대전광역시 동구 가양동,1,일반,0323-0007,3011011400103230007,2019,01,1,1,137.9,137.9,97.48,97.48,97900000,N,2019-07-19
3011011400103230008,3011011400,대전광역시 동구 가양동,1,일반,0323-0008,3011011400103230008,2019,01,0,0,178.4,178.4,329.29,329.29,350000000,N,2019-07-19
3011011400103230009,3011011400,대전광역시 동구 가양동,1,일반,0323-0009,3011011400103230009,2019,01,1,1,326.1,326.1,163.67,163.67,211000000,N,2019-07-19
